Origin,Destination,Dependencies
s-Hertogenbosch,Eindhoven,5
Leeuwarden,Sneek,6
Rotterdam,Antwerpen,6
Gronigen,Leeuwarden,4
Maastricht,Roermond,1
Haarlem,s-Gravenhage,9
Zwolle,Arnhem,2
Arnhem,Utrecht,3
Nijmegen,Duisburg,2
Nijmegen,Eindhoven,4
Leeuwarden,Waddeneilanden,1
Emmen,Zwolle,4
Zwolle,Lelystad,8
Arnhem,Nijmegen,6
Waddeneilanden,Sneek,1
Utrecht,Rotterdam,2
Den_Helder,Haarlem,5
Liege,Maastricht,1
Eindhoven,Maastricht,2
Turnhout,Hasselt,3
Hasselt,Liege,2
Waddeneilanden,Den_Helder,1
Amsterdam,Rotterdam,7
Amsterdam,Haarlem,5
Sneek,Den_Helder,2
Antwerpen,Aarschet,1
Amsterdam,Utrecht,8
Enschede,Duisburg,1
Enschede,Zwolle,1
Roermond,Duisburg,1
Gronigen,Emmen,1
Utrecht,s-Hertogenbosch,3
Lingen,Emmen,2
s-Gravenhage,Middelburg,3
Lelystad,Amsterdam,13
Lingen,Enschede,2
Rotterdam,Breda,6
Breda,Turnhout,5
Turnhout,Antwerpen,1
Emden,Gronigen,1
Sneek,Lelystad,7
s-Gravenhage,Rotterdam,6
Enschede,Arnhem,1
Emden,Emmen,1
s-Hertogenbosch,Breda,2
